|,|__City,|__Date,|__District,|__Location,|__Member,|__Notes,|__Party,|__RSVP,|__State,|__StateAb,|__Time,|__Zip,|__address,|__dateChanged,|__dateObj,|__dateString,|__dateValid,|__eventId,|__eventName,|__lastUpdated,|__lastUpdatedHuman,|__lat,|__link,|__linkName,|__lng,|__meetingType,|__rsvpName,|__noLoc,|__repeatingEvent,|__streetAddress,|__timeEnd,|__updatedBy,|__timeEnd24,|__timeStart24,|__timeZone,|__yearMonthDay,|__zoneString
100140,Washington,"Thu, Jul 20, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.50E+12,Thu Jul 20 2017,TRUE,100140,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,7/20/2017,America/New_York
100141,Washington,"Thu, Jul 27, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.50E+12,Thu Jul 27 2017,TRUE,100141,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,7/27/2017,America/New_York
100142,Washington,"Thu, Sep 7, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.50E+12,Thu Sep 07 2017,TRUE,100142,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,9/7/2017,America/New_York
100143,Washington,"Thu, Sep 14, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.51E+12,Thu Sep 14 2017,TRUE,100143,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,9/14/2017,America/New_York
100144,Washington,"Thu, Sep 28, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.51E+12,Thu Sep 28 2017,TRUE,100144,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,9/28/2017,America/New_York
100145,Washington,"Thu, Oct 5, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.51E+12,Thu Oct 05 2017,TRUE,100145,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,10/5/2017,America/New_York
100146,Washington,"Thu, Oct 19, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.51E+12,Thu Oct 19 2017,TRUE,100146,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,10/19/2017,America/New_York
100147,Washington,"Thu, Oct 26, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.51E+12,Thu Oct 26 2017,TRUE,100147,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,10/26/2017,America/New_York
100148,Washington,"Thu, Nov 2, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.51E+12,Thu Nov 02 2017,TRUE,100148,Weekly Coffee wtih Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,11/2/2017,America/New_York
100149,Washington,"Thu, Nov 16, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.51E+12,Thu Nov 16 2017,TRUE,100149,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,11/16/2017,America/New_York
100150,Washington,"Thu, Nov 30, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.51E+12,Thu Nov 30 2017,TRUE,100150,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,11/30/2017,America/New_York
100151,Washington,"Thu, Dec 7, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.51E+12,Thu Dec 07 2017,TRUE,100151,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,12/7/2017,America/New_York
100152,Washington,"Thu, Dec 14, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.51E+12,Thu Dec 14 2017,TRUE,100152,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,12/14/2017,America/New_York
100153,Washington,Every Thursday Senate is in session.,Senate,"Russell Senate Office Bldg, Room 154",Patty Murray,<p>RSVP: 202.224.1425</p>,Democratic,,Washington,DC,9:00 AM,,Washington,,,,,100153,,Wed Mar 29 2017 00:15:31 GMT-0700 (PDT),,47.7510741,,,-120.7401386,Coffee,,TRUE,Every Thursday Senate is in session.,,NA,meganrm@gmail.com,,,,,
100154,Washington,Every Wed Senate is in session.,Senate,Cantwell Senate office,Maria Cantwell,"<p>RSVP at <a href=""https://www.cantwell.senate.gov/contact/coffee"" target=""_blank"">More Information</a></p>",Democratic,,Washington,DC,11:30 AM,,"Hart Senate Office Building, #511, Washington, DC 20002",,,,,100154,,Wed Mar 29 2017 00:15:20 GMT-0700 (PDT),,38.8928388,,,-77.0043561,Coffee,,,Every Wed Senate is in session.,"Senate Hard Bldg, Room 511",12:30 PM,meganrm@gmail.com,,,,,
100262,Van Horn,"Fri, Apr 7, 2017",TX-23,Culberson County Nutrition and Recreation Center,Will Hurd,,Republican,,Texas,TX,11:00 AM,,"1206 W Broadway St, Van Horn, TX 79855",,1.49E+12,Fri Apr 07 2017,TRUE,100262,Mobile office hours,"02/22/17, 11:24",,31.0390707,,,-104.8401428,Office Hours,,,,1206 W. Broadway St,1:00 PM,,13:00:00,11:00:00,CST,4/7/2017,America/Chicago
100263,Sonora,"Fri, Apr 7, 2017",TX-23,Sutton County Public Library,Will Hurd,,Republican,,Texas,TX,1:30 PM,,"306 E Mulberry St, Sonora, TX 76950",,1.49E+12,Fri Apr 07 2017,TRUE,100263,Mobile office hours,"02/22/17, 11:24",,30.5725677,,,-100.6465243,Office Hours,,,,306 E Mulberry Street,3:30 PM,,15:30:00,13:30:00,CST,4/7/2017,America/Chicago
100264,McCamey,"Fri, Apr 7, 2017",TX-23,Upton County Library,Will Hurd,,Republican,,Texas,TX,3:30 PM,,"212 W 7th St, McCamey, TX 79752",,1.49E+12,Fri Apr 07 2017,TRUE,100264,Mobile office hours,"02/22/17, 11:24",,31.1312086,,,-102.2243384,Office Hours,,,,212 W 7th St,5:30 PM,,17:30:00,15:30:00,CST,4/7/2017,America/Chicago
100301,Daytona Beach,"Mon, Apr 17, 2017",FL-06,Willie Miller Instructional Center Auditorium,Ron DeSantis,,Republican,,Florida,FL,7:00 PM,,"600 S Clyde Morris Blvd, Daytona Beach, FL 32114",,1.49E+12,Mon Apr 17 2017,TRUE,100301,Speaker Series at Embry-Riddle,"02/22/17, 11:24",,29.1890201,,,-81.0469642,Town Hall,,,,600 S. Clyde Morris Boulevard,8:30 PM,,21:00:00,19:00:00,EST,4/17/2017,America/New_York
100362,Richmond,"Wed, Apr 5, 2017",VA-07,Richmond Mariott,Dave Brat,,Republican,"<p><a href=""http://davebrat.com/breakfast/"" target=""_blank"">Link</a></p>",Virginia,VA,7:30 AM,23219,"500 E Broad St, Richmond, VA 23219",,1.49E+12,Wed Apr 05 2017,TRUE,100362,3rd Annual Breakfast with Brat and Special Guest Trey Gowdy,"2017-03-01, 18:50:09",,37.5430445,,,-77.4366247,Ticketed Event,,,,500 E. Broad Street,,,9:30:00,7:30:00,EDT,4/5/2017,America/New_York
100364,Pecos,"Sat, Apr 8, 2017",23,Reeves County Library,Will Hurd,,Republican,,Texas,TX,10:00:00 AM,79772,"505 S Park St, Pecos, TX 79772",,1.49E+12,Sat Apr 08 2017,TRUE,100364,Mobile office hours,"2017-03-01, 18:50:03",,31.4201537,,,-103.5043138,Office Hours,,,,505 S. Park St,12:00 PM,,12:00:00,10:00:00:00,CDT,4/8/2017,America/Chicago
100365,Del Rio,"Sat, Apr 8, 2017",23,Del Rio District Office,Will Hurd,,Republican,,Texas,TX,10:00:00 AM,78840,"1104 W 10th St, Del Rio, TX 78840",,1.49E+12,Sat Apr 08 2017,TRUE,100365,Mobile office hours,"2017-03-02, 14:23:53",,29.3705708,,,-100.9202206,Office Hours,,,,1104 W. 10th,2:00 PM,,12:00:00,10:00:00:00,CDT,4/8/2017,America/Chicago
100367,Dell City,"Sat, Apr 8, 2017",23,Grace Grebing Public Library,Will Hurd,,Republican,,Texas,TX,2:00:00 PM,79837,"110 N Main St, Houston, TX 77002",,1.49E+12,Sat Apr 08 2017,TRUE,100367,Mobile office hours,"2017-03-02, 14:23:55",,29.7664916,,,-95.3584745,Office Hours,,,,110 N. Main St,4:00 PM,,16:00:00,14:00:00,CDT,4/8/2017,America/Chicago
100500,Richfield,"Wed, May 17, 2017",UT-02,Richfield High School,Chris Stewart,,Republican,,Utah,UT,7:00 PM,84701,"495 W Center St, Richfield, UT 84701",,1.50E+12,Thu May 18 2017,TRUE,100500,Town Hall,"2017-03-06, 20:49:31",,38.7680577,,,-112.0929505,Town Hall,,,,495 W Center St,,,21:00:00,19:00:00,MDT,5/18/2017,America/Denver
100503,West Chester Township,"Wed, Apr 5, 2017",OH-08,Liberty Township Administrative Building,Warren Davidson,<p>Occurs the first Wednesday of each month in Butler County</p>,Republican,,Ohio,OH,10:00 AM,45069,"7162 Liberty Centre Dr, West Chester Township, OH 45069",,1.49E+12,Wed Apr 05 2017,TRUE,100503,Mobile Office Hours,"2017-03-06, 20:49:31",,39.372602,,,-84.386792,Office Hours,,,,7162 Liberty Centre Drive,,,12:00:00,10:00:00,EDT,4/5/2017,America/New_York
100504,Monroe,"Wed, Apr 5, 2017",OH-08,"City of Monroe Administrative Building, Courthouse",Warren Davidson,<p>Recurs the first Wednesday of every month</p>,Republican,,Ohio,OH,11:15 AM,45050,"233 S Main St, Monroe, OH 45050",,1.49E+12,Wed Apr 05 2017,TRUE,100504,Mobile Office Hours,"2017-03-06, 20:49:31",,39.4410024,,,-84.3629063,Office Hours,,,,233 South Main Street,,,13:15:00,11:15:00,EDT,4/5/2017,America/New_York
100505,Trenton,"Wed, Apr 5, 2017",OH-08,City of Trenton Administrative Building Courtroom,Warren Davidson,<p>Recurs the first Wednesday of every month</p>,Republican,,Ohio,OH,12:30 PM,45067,"11 E State St, Trenton, OH 45067",,1.49E+12,Wed Apr 05 2017,TRUE,100505,Mobile Office Hours,"2017-03-06, 20:49:31",,39.48069,,,-84.458025,Office Hours,,,,11 East State Street,,,14:30:00,12:30:00,EDT,4/5/2017,America/New_York
100506,Middletown,"Wed, Apr 5, 2017",OH-08,"City of Middletown Administrative Building, Room 2B",Warren Davidson,<p>Recurs first Wednesday of every month</p>,Republican,,Ohio,OH,1:45 PM,45042,"1 Donham Plaza, Middletown, OH 45042",,1.49E+12,Wed Apr 05 2017,TRUE,100506,Mobile Office Hours,"2017-03-06, 20:49:31",,39.5192154,,,-84.401245,Office Hours,,,,1 Donham Plaza,,,15:45:00,13:45:00,EDT,4/5/2017,America/New_York
100507,Trenton,"Wed, Apr 5, 2017",OH-08,Wayne Township Administrative Building,Warren Davidson,<p>Recurs first Wednesday of every month</p>,Republican,,Ohio,OH,3:00 PM,45067,"5967 Jacksonburg Rd, Trenton, OH 45067",,1.49E+12,Wed Apr 05 2017,TRUE,100507,Mobile Office Hours,"2017-03-06, 20:49:31",,39.5379965,,,-84.5032335,Office Hours,,,,5967 Jacksonburg Road,,,17:00:00,15:00:00,EDT,4/5/2017,America/New_York
100560,Barrington,"Tue, Apr 11, 2017",RI-01,Barrington High School,David Ciciline,<p>Congressman David Cicilline (RI-01) is hosting this Community Conversation to provide an opportunity for residents of the First Congressional District of Rhode Island to gather together and discuss how the federal government can best serve their interests and represent their values. This event is free and open to the public. RSVP to Annie.Pease@mail.house.gov or by calling 401-729-5600.</p>,Democratic,<p>RSVP to Annie.Pease@mail.house.gov or by calling 401-729-5600.</p>,Rhode Island,RI,6:30 PM,2806,"20 Lincoln Ave, Barrington, RI 02806",,1.49E+12,Tue Apr 11 2017,TRUE,100560,Community Conversation,"2017-03-11, 12:31:51",,41.74731,,,-71.339372,Town Hall,,,,20 Lincoln Ave,7:30 PM,,20:30:00,18:30:00,EDT,4/11/2017,America/New_York
100561,Portsmouth,"Sat, Apr 22, 2017",RI-01,Portsmouth Middle School,David Ciciline,<p>Congressman David Cicilline (RI-01) is hosting this Community Conversation to provide an opportunity for residents of the First Congressional District of Rhode Island to gather together and discuss how the federal government can best serve their interests and represent their values. This event is free and open to the public. RSVP to Annie.Pease@mail.house.gov or by calling 401-729-5600.</p>,Democratic,<p>RSVP to Annie.Pease@mail.house.gov or by calling 401-729-5600.</p>,Rhode Island,RI,3:30 PM,2871,"125 Jepson Ln, Portsmouth, RI 02871",,1.49E+12,Sat Apr 22 2017,TRUE,100561,Community Conversation in Portsmouth,"2017-03-11, 12:31:51",,41.5551869,,,-71.2850634,Town Hall,,,,125 Jepson Lane,4:30 PM,,17:30:00,15:30:00,EDT,4/22/2017,America/New_York
100571,Reseda,"Sat, Apr 22, 2017",CA-30,Reseda High School,Brad Sherman,,Democratic,"<p><a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fsherman.house.gov%2Ftown-hall-rsvp&h=ATOeZB2GHvmRhZzAC-FA40gxDfYEAoH3zXs25HRI57cXPUm2UI0bv2chV-aH_gh9gmMaCpdYceIuUQ30cUZqWOyIs5LL9gcqiyfgbdIhwE1nNHaRvbNTD2HwE7jXEBkklg&enc=AZOC-jURM_eiHY8A0cRds3GUUtBbNmFnriPk5GIc3XI6BR0P6QGtr5ILB_8DyUvB6aU&s=1"" target=""_blank"">RSVP here</a></p>",California,CA,2:00 PM,91335,"18230 Kittridge St, Reseda, CA 91335",,1.49E+12,Sat Apr 22 2017,TRUE,100571,Valley Town Hall,"2017-03-11, 12:31:51",,34.1884315,,,-118.5288733,Town Hall,,,,18230 Kittridge Street,4:00 PM,,16:00:00,14:00:00,PDT,4/22/2017,America/Los_Angeles
100592,Munising,"Mon, Apr 3, 2017",MI-01,,Jack Bergman,"<p>Mobile office hours represent the Congressman’s efforts to make sure that everyone in the First District—the second largest geographic district in the country—has access to the services his district offices can provide.  For additional information, constituents should call:  Traverse City Office: (231) 944-7633  Marquette Office: (906) 273-2227</p>",Republican,,Michigan,MI,1:30 PM,49862,"301 E Superior St, Munising, MI 49862",,1.49E+12,Mon Apr 03 2017,TRUE,100592,March Mobile Office Hours,"2017-03-11, 12:31:51",,46.4094832,,,-86.6521732,Office Hours,,,,301 East Superior St.,3:30 PM,,15:30:00,13:30:00,EDT,4/3/2017,America/New_York
100593,Gwinn,"Mon, Apr 3, 2017",MI-01,,Jack Bergman,"<p>Congressman Jack Bergman (MI-1) today announced March mobile office hours to give constituents across the First District the opportunity to meet and discuss issues with the Congressman’s staff.  “As Representative of Michigan’s First District,” Bergman said, “part of my job is to help constituents in their dealings with federal agencies. My district staff is fully dedicated to making sure that folks get adequate, fair, and timely consideration from executive branch agencies and other government actors. I welcome men and women from across the district to take the time to stop by and meet with the dedicated advocates who are based in Traverse City and Marquette.”  Mobile office hours represent the Congressman’s efforts to make sure that everyone in the First District—the second largest geographic district in the country—has access to the services his district offices can provide.  For additional information, constituents should call:  Traverse City Office: (231) 944-7633  Marquette Office: (906) 273-2227</p>",Republican,,Michigan,MI,10:00 AM,49841,"184 W Flint St, Gwinn, MI 49841",,1.49E+12,Mon Apr 03 2017,TRUE,100593,March Mobile Office Hours,"2017-03-11, 12:31:51",,46.2791295,,,-87.4381176,Office Hours,,,,184 West Flint St.,12:00 PM,,12:00:00,10:00:00,EDT,4/3/2017,America/New_York
100594,Iron Mountain,"Tue, Apr 4, 2017",MI-01,,Jack Bergman,"<p>Congressman Jack Bergman (MI-1) today announced March mobile office hours to give constituents across the First District the opportunity to meet and discuss issues with the Congressman’s staff.  “As Representative of Michigan’s First District,” Bergman said, “part of my job is to help constituents in their dealings with federal agencies. My district staff is fully dedicated to making sure that folks get adequate, fair, and timely consideration from executive branch agencies and other government actors. I welcome men and women from across the district to take the time to stop by and meet with the dedicated advocates who are based in Traverse City and Marquette.”  Mobile office hours represent the Congressman’s efforts to make sure that everyone in the First District—the second largest geographic district in the country—has access to the services his district offices can provide.  For additional information, constituents should call:  Traverse City Office: (231) 944-7633  Marquette Office: (906) 273-2227</p>",Republican,,Michigan,MI,10:00 AM,49801,"401 Iron Mountain St, Iron Mountain, MI 49801",,1.49E+12,Tue Apr 04 2017,TRUE,100594,March Mobile Office Hours,"2017-03-11, 12:31:51",,45.8189104,,,-88.0634995,Office Hours,,,,401 Iron St.,12:00 PM,,12:00:00,10:00:00,CDT,4/4/2017,America/Chicago
100595,Kingsford,"Tue, Apr 4, 2017",MI-01,,Jack Bergman,"<p>Congressman Jack Bergman (MI-1) today announced March mobile office hours to give constituents across the First District the opportunity to meet and discuss issues with the Congressman’s staff.  “As Representative of Michigan’s First District,” Bergman said, “part of my job is to help constituents in their dealings with federal agencies. My district staff is fully dedicated to making sure that folks get adequate, fair, and timely consideration from executive branch agencies and other government actors. I welcome men and women from across the district to take the time to stop by and meet with the dedicated advocates who are based in Traverse City and Marquette.”  Mobile office hours represent the Congressman’s efforts to make sure that everyone in the First District—the second largest geographic district in the country—has access to the services his district offices can provide.  For additional information, constituents should call:  Traverse City Office: (231) 944-7633  Marquette Office: (906) 273-2227</p>",Republican,,Michigan,MI,1:30 PM,49802,"305 S Carpenter Ave, Kingsford, MI 49802",,1.49E+12,Tue Apr 04 2017,TRUE,100595,March Mobile Office Hours,"2017-03-11, 12:31:51",,45.8057597,,,-88.0689934,Office Hours,,,,305 South Carpenter Ave.,3:30 PM,,15:30:00,13:30:00,CDT,4/4/2017,America/Chicago
100626,Pensacola,"Mon, Apr 17, 2017",FL-01,Pine Forest High School,Matt Gaetz,<p>Unclear if Congressman will be in attendance.</p>,Republican,,Florida,FL,6:00 PM,32526,"2500 Longleaf Dr, Pensacola, FL 32526",,1.49E+12,Mon Apr 17 2017,TRUE,100626,Service Academy & ROTC Nights,"2017-03-13, 22:56:23",,30.4883022,,,-87.2961592,Office Hours,,,,2500 Longleaf Dr,8:00 PM,,20:00:00,18:00:00,CDT,4/17/2017,America/Chicago
100627,Crestview,"Tue, Apr 18, 2017",FL-01,Crestview High School,Matt Gaetz,<p>Unclear if Congressman will be in attendance.</p>,Republican,,Florida,FL,6:00 PM,32536,"1250 N Ferdon Blvd, Crestview, FL 32536",,1.49E+12,Tue Apr 18 2017,TRUE,100627,Service Academy & ROTC Nights,"2017-03-30, 11:21:00",,30.789348,,,-86.5606414,Office Hours,,,,1250 N Ferdon Blvd,8:00 PM,,20:00:00,18:00:00,CDT,4/18/2017,America/Chicago
100634,Richfield,"Fri, May 12, 2017",UT-02,Richfield High School,Chris Stewart,,Republican,,Utah,UT,7:00 PM,84701,"495 W Center St, Richfield, UT 84701",,1.49E+12,Sat May 13 2017,TRUE,100634,Town Hall,"2017-03-14, 11:01:26",,38.7680577,,,-112.0929505,Town Hall,,,,495 W Center St,,,21:00:00,19:00:00,MDT,5/13/2017,America/Denver
100662,Georgetown,"Wed, Apr 12, 2017",SC-07,Waccamaw Regional Council of Governments Office,Tom Rice,<p>Occurs the 2nd Wednesday of every month</p>,Republican,"<p>For directions or additional details regarding mobile office hours, please contact the Pee Dee District Office at (843) 679-9781 or the Grand Strand District Office at (843) 445-6459.</p>",South Carolina,SC,12:00 PM,29440,"1230 Highmarket St, Georgetown, SC 29440",,1.49E+12,Wed Apr 12 2017,TRUE,100662,Georgetown Mobile Office,"2017-03-19, 11:17:19",,33.3729396,,,-79.2869345,Office Hours,,,,1230 Highmarket Street,2:00 PM,,14:00:00,12:00:00,EDT,4/12/2017,America/New_York
100666,Kansas City,"Sat, Apr 15, 2017",MO-05,Kansas City Public Library,Emanuel Cleaver,"<p>The Congressional Art Competition is an opportunity to recognize, encourage, and showcase the artistic talent of high school students in my Congressional District and across the country.</p>",Democratic,,Missouri,MO,1:30 PM,64105,"14 W 10th St, Kansas City, MO 64105",,1.49E+12,Sat Apr 15 2017,TRUE,100666,Congressional Art Competition,"2017-03-19, 11:17:19",,39.1026812,,,-94.5838946,Town Hall,,,,14 West 10th Street,3:45 PM,,15:30:00,13:30:00,CDT,4/15/2017,America/Chicago
100668,Boulder,"Fri, Apr 7, 2017",CO-02,CU Boulder UMC Glen Miller Ballroom,Jared Polis,,Democratic,"<p><a href=""https://www.eventbrite.com/e/community-conversation-with-congressman-polis-in-boulder-tickets-32828757698"" target=""_blank"">RSVP here</a></p>",Colorado,CO,5:30 PM,80302,"1669 Euclid Ave, Boulder, CO 80302",,1.49E+12,Fri Apr 07 2017,TRUE,100668,Boulder Town Hall,"2017-03-19, 11:17:19",,40.0065706,,,-105.2717488,Town Hall,,,,1669 Euclid Ave,7:00 PM,,19:30:00,17:30:00,MDT,4/7/2017,America/Denver
100669,Loveland,"Sat, Apr 8, 2017",CO-02,Mountain View High School,Jared Polis,,Democratic,"<p><a href=""https://www.eventbrite.com/e/community-conversation-with-congressman-polis-in-loveland-tickets-32895234532"" target=""_blank"">RSVP here</a></p>",Colorado,CO,3:30 PM,80537,"3500 Mountain Lion Dr, Loveland, CO 80537",,1.49E+12,Sat Apr 08 2017,TRUE,100669,Loveland Town Hall,"2017-03-19, 11:17:19",,40.404866,,,-105.026501,Town Hall,,,,3500 Mountain Lion Dr,5:00 PM,,17:30:00,15:30:00,MDT,4/8/2017,America/Denver
100676,Redwood City,"Sat, Apr 22, 2017",CA-18,"Cañada College, Gymnasium",Anna Eshoo,"<p>Seating for this event is first come, first served. The event will be live streamed on Facebook.</p>",Democratic,"<p>Seating for this event is first come, first served. The event will be live streamed on Facebook.</p>",California,CA,10:00 AM,94061,"4200 Farm Hill Blvd, Woodside, CA 94061",,1.49E+12,Sat Apr 22 2017,TRUE,100676,In-person Town Hall,"2017-03-19, 11:17:19",,37.4471001,,,-122.2603696,Town Hall,,,,4200 Farm Hill Boulevard,11:30 AM,,12:00:00,10:00:00,PDT,4/22/2017,America/Los_Angeles
100677,Nokesville,"Tue, Apr 18, 2017",VA-01,Patriot High School (enter through door #28),Rob Wittman,"<p>Representative Rob Wittman has been invited to the town hall and the page will be updated once his RSVP is received. This will be a bipartisan discussion on the Affordable Care Act, Refugees and Immigration Ban, Education, the environment, and other issues of concern to 1st District residents.</p>",Republican,,Virginia,VA,7:00 PM,20181,"10504 Kettle Run Rd, Nokesville, VA 20181",,1.49E+12,Tue Apr 18 2017,TRUE,100677,1st District Town Hall Meeting,"2017-03-19, 11:17:19",,38.7260905,,,-77.5800623,Town Hall,,,,10504 Kettle Run Rd.,8:30 PM,,21:00:00,19:00:00,EDT,4/18/2017,America/New_York
100693,Brooklyn,"Wed, Apr 19, 2017",NY-09,New Life Tabernacle,Yvette Clarke,,Democratic,,New York,NY,6:00 PM,11203,"4905 Avenue D, Brooklyn, NY 11203",,1.49E+12,Wed Apr 19 2017,TRUE,100693,"Community Town Hall on Immigration, Gun Safety, and Healthcare","2017-03-20, 20:17:56",,40.6423274,,,-73.9298467,Town Hall,,,,4905 Avenue D,9:00 PM,,20:00:00,18:00:00,EDT,4/19/2017,America/New_York
100709,Waukegan,"Tue, Apr 4, 2017",IL-13,Park Place Senior Center	,Brad Schneider,"<p>From Rep. Brad Schneider: We host frequent Neighborhood Office Hours for constituents to more easily meet with caseworkers and staff to discuss any federal issues that they may have. We’re here to help if you have issues with Medicare, Social Security, the Veterans Administration, immigration and more.  If you can’t make it, we’re always available at our Lincolnshire Office. Call us at 847-383-4870.</p>",Democratic,,Illinois,IL,10:00 AM,60085,"414 S Lewis Ave, Waukegan, IL 60085",,1.49E+12,Tue Apr 04 2017,TRUE,100709,Neighborhood Office Hours,"2017-03-21, 12:01:1",,42.3522171,,,-87.8558207,Office Hours,,,,414 S Lewis Ave	,12:00 PM,,12:00:00,10:00:00,CDT,4/4/2017,America/Chicago
100710,North Chicago,"Tue, Apr 4, 2017",IL-13,North Chicago Public Library,Brad Schneider,"<p>From Rep. Brad Schneider: We host frequent Neighborhood Office Hours for constituents to more easily meet with caseworkers and staff to discuss any federal issues that they may have. We’re here to help if you have issues with Medicare, Social Security, the Veterans Administration, immigration and more.  If you can’t make it, we’re always available at our Lincolnshire Office. Call us at 847-383-4870.</p>",Democratic,,Illinois,IL,10:00 AM,60064,"2100 Argonne Dr, North Chicago, IL 60064",,1.49E+12,Tue Apr 04 2017,TRUE,100710,Neighborhood Office Hours,"2017-03-21, 12:01:1",,42.3256159,,,-87.857754,Office Hours,,,,2100 Argonne Dr,12:00 PM,,12:00:00,10:00:00,CDT,4/4/2017,America/Chicago
100711,Waukegan,"Wed, Apr 5, 2017",IL-13,Waukegan Public Library	,Brad Schneider,"<p>From Rep. Brad Schneider: We host frequent Neighborhood Office Hours for constituents to more easily meet with caseworkers and staff to discuss any federal issues that they may have. We’re here to help if you have issues with Medicare, Social Security, the Veterans Administration, immigration and more.  If you can’t make it, we’re always available at our Lincolnshire Office. Call us at 847-383-4870.</p>",Democratic,,Illinois,IL,3:00 PM,60085,"128 N County St, Waukegan, IL 60885",,1.49E+12,Wed Apr 05 2017,TRUE,100711,Neighborhood Office Hours,"2017-03-21, 12:01:1",,42.3619608,,,-87.83318,Office Hours,,,,128 N County St	,5:00 PM,,17:00:00,15:00:00,CDT,4/5/2017,America/Chicago
