event_legislator,event_related_party,event_related_state,event_congress_district,event_meeting_type,event_date,event_time,event_description,event_location,event_url
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Third Wednesday,"11:00 AM, EST",,"Fuller Village Library 1372 Brush Hill Rd, Milton, MA 02186",https://townhallproject.com
John Moolenaar,Republican,Michigan,MI-04,Office Hours,"Tue, Feb 28, 2017","11:30 AM, EST",,"Isabella County Building, Room 320 200 N Main St, Mt Pleasant, MI 48858",https://townhallproject.com
Gary Peters,Democratic,Michigan,Senate,Coffee,Every Tues when Senate is in session.,"9:00 AM, EST",,"Sen. Peters D.C. office Hart Senate Office Building, #724, Washington, DC 20002",https://townhallproject.com
Justin Amash,Republican,Michigan,MI-03,Town Hall,"Thu, Feb 23, 2017","12:00 PM, EST",,"Full Blast Recreation Center 35 Hamblin Avenue, Battle Creek, MI 49017",https://townhallproject.com
Debbie Dingell,Democrat,Michigan,MI-12,Town Hall,"Tue, Feb 21, 2017","7:00 PM, CST",,"Annenberg Auditorium, Ford School (Weill Hall), University of Michigan 735 S State St, Ann Arbor, MI 48104",https://townhallproject.com
Bill Huizenga,Republican,Michigan,MI-02,Town Hall,"Sat, Feb 25, 2017","12:00 PM, EST",,"Baldwin Senior High School 525 4th St, Baldwin, MI 49304",https://townhallproject.com
Tom Emmer,Republican,Minnesota,MN-6,Town Hall,"Wed, Feb 22, 2017","7:00 PM, CST",,"Sartell City Hall 125 Pine Cone Rd N, Sartell, MN 56377",https://townhallproject.com
Tom Emmer,Republican,Minnesota,MN-06,Town Hall,"Wed, Feb 22, 2017","7:00 PM, CST",,"Sartell City Hall 125 Pine Cone Rd N, Sartell, MN 56377",https://townhallproject.com
Betty McCollum,Democratic,Minnesota,MN-04,Town Hall,"Thu, Feb 23, 2017","4:00 PM, CST",,"University of St. Thomas - James Woulfe Alumni Hall, 3rd Floor 2115 Summit Ave, St Paul, MN 55105",https://townhallproject.com
Tim Walz,Democratic,Minnesota,MN-01,Town Hall,"Thu, Feb 23, 2017","5:30 PM, CST",,"Rochester Community and Technical College - Charles E Theater 851 30th Ave SE, Rochester, MN 55904",https://townhallproject.com
Tim Walz,Democrat,Minnesota,MN-01,Town Hall,"Thu, Feb 23, 2017","5:30 PM, CST",,"Rochester Community and Technical College - Charles E. Hill Theater 851 30th Ave SE, Rochester, MN 55904",https://townhallproject.com
Betty McCollum,Democratic,Minnesota,MN-04,Town Hall,"Fri, Feb 24, 2017","10:00 AM, CST",,"Hallie Q. Brown Community Center, Canteen Room 270 N Kent St, St Paul, MN 55102",https://townhallproject.com
Betty McCollum,Democrat,Minnesota,MN-04,Office Hours,"Tue, Mar 14, 2017","9:00 AM, CST",,"Stillwater City Hall 216 4th St N, Stillwater, MN 55082",https://townhallproject.com
Betty McCollum,Democrat,Minnesota,MN-04,Office Hours,"Tue, Mar 21, 2017","9:00 AM, CST",,"Woodbury City Hall 8301 Valley Creek Rd, Woodbury, MN 55125",https://townhallproject.com
Al Franken,Democratic,Minnesota,Senate,Coffee,Every Wednesday Senate is in session,"8:45 AM, EST",,"309 Hart Senate Bldg 104 Hart Senate Office Building, Washington, DC 20002",https://townhallproject.com
Rick Nolan,Democrat,Minnesota,MN-08,Town Hall,"Tue, Feb 21, 2017","2:30 PM, CST",,"Tower City Hall 602 Main St, Tower, MN 55790",https://townhallproject.com
Rick Nolan,Democrat,Minnesota,MN-08,Town Hall,"Tue, Feb 21, 2017","11:30 AM, CST",,"Pine City Senior Center - Senior Dining 670 Main St S, Pine City, MN 55063",https://townhallproject.com
Rick Nolan,Democrat,Minnesota,MN-08,Town Hall,"Tue, Feb 21, 2017","2:00 PM, CST",,"Pine City Courthouse 635 Northridge Dr NW, Pine City, MN 55063",https://townhallproject.com
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Wed, Feb 22, 2017","11:00 AM, CST",,"Ogilvie Senior Dining 102 S Hill Ave, Ogilvie, MN 56358",https://townhallproject.com
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Wed, Feb 22, 2017","1:00 PM, CST",,"Ogilvie City Hall 102 S Hill Ave, Ogilvie, MN 56358",https://townhallproject.com
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Thu, Feb 23, 2017","1:00 PM, CST",,"Taylors Falls City Hall 637 1st St, Taylors Falls, MN 55084",https://townhallproject.com
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Thu, Feb 23, 2017","2:30 PM, CST",,"Shafer City Hall 17656 303rd Ln, Shafer, MN 55074",https://townhallproject.com
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Thu, Feb 23, 2017","4:00 PM, CST",,"Chisago Lakes Library 11754 302nd St, Chisago City, MN 55013",https://townhallproject.com
Rick Nolan,Democrat,Minnesota,MN-08,Office Hours,"Thu, Feb 23, 2017","6:00 PM, CST",,"Wyoming Library 26855 Forest Blvd, Wyoming, MN 55092",https://townhallproject.com
Erik Paulsen,Republican,Minnesota,MN-03,Empty Chair Town Hall,"Thu, Feb 23, 2017","7:00 PM, CST",,"Mount Olivet Lutheran Church 12235 Old Rockford Rd, Minneapolis, MN 55441",https://townhallproject.com
Roger Wicker,Republican,Mississippi,Senate,Coffee,Every Tuesday,"8:30 AM, EST",,TBD Mississippi,https://townhallproject.com
Deb Fischer,Republican,Nebraska,Senate,Office Hours,"Wed, Mar 1, 2017","3:00 PM, CST",,"Pilger Library 120 N Main St, Pilger, NE 68768",https://townhallproject.com
Deb Fischer,Republican,Nebraska,Senate,Office Hours,"Wed, Mar 1, 2017","1:00 PM, CST",,"Schuyler City Offices 1103 B St, Schuyler, NE 68661",https://townhallproject.com
Deb Fischer,Republican,Nebraska,Senate,Office Hours,"Wed, Mar 1, 2017","10:00 AM, CST",,"Keene Memorial Library 1030 N Broad St, Fremont, NE 68025",https://townhallproject.com
Jacky Rosen,Democrat,Nevada,NV-03,Other,"Wed, Mar 22, 2017","4:30 PM, MST",,"Congresswoman Rosen's Las Vegas Office 8872 S Eastern Ave, Las Vegas, NV 89123",https://townhallproject.com
Ruben J. Kihuen,Democrat,Nevada,NV-04,Other,"Fri, Feb 24, 2017","5:30 PM, PST",," 2250 N Las Vegas Blvd #500, North Las Vegas, NV 89030",https://townhallproject.com
Rep Ruben Kihuen,Democrat,Nevada,NV-04,Ticketed Event,"Fri, Feb 24, 2017","5:30 PM, PST",,"Kihuen District Office, suite 500 2250 N Las Vegas Blvd, North Las Vegas, NV 89030",https://townhallproject.com
Dean Heller,Republican,Nevada,Senate,Empty Chair Town Hall,"Wed, Feb 22, 2017","11:00 AM, PST",,"Gold Dust West 2171 E William St, Carson City, NV 89701",https://townhallproject.com
Rep Carol Shea-Porter,Democrat,New Hampshire,NH-01,Other,"Mon, Feb 20, 2017","3:00 PM, EST",,"N. Main St. N Main St, Concord, NH 03301",https://townhallproject.com
Leonard Lance,Republican,New Jersey,NJ-7,Town Hall,"Wed, Feb 22, 2017","7:00 PM, EST",,"Raritan Valley Community College, Edward Nash Theater 118 Lamington Rd, Branchburg, NJ 08876",https://townhallproject.com
Leonard Lance,Republican,New Jersey,NJ-07,Town Hall,"Wed, Feb 22, 2017","7:00 PM, EST",,"Raritan Valley Community College in Branchburg 118 Lamington Rd, Branchburg, NJ 08876",https://townhallproject.com
Tom MacArthur,Republican,New Jersey,NJ-03,Empty Chair Town Hall,"Wed, Feb 22, 2017","7:00 PM, EST",,"Frances S. DeMasi Middle School 199 Evesboro Medford Rd, Marlton, NJ 08053",https://townhallproject.com
Donald Norcross,Democratic,New Jersey,NJ-1,Town Hall,"Thu, Feb 23, 2017","6:30 PM, EST",,"Oaklyn Municipal Bldg - Court Room 500 White Horse Pike, Oaklyn, NJ 08107",https://townhallproject.com
Tom MacArthur,Republican,New Jersey,NJ-3,Tele-Town Hall,"Thu, Feb 23, 2017","7:00 PM, EST",,New Jersey,https://townhallproject.com
Rep Donald Norcross,Democrat,New Jersey,NJ-01,Town Hall,"Thu, Feb 23, 2017","6:30 PM, EST",,"Oaklyn Municipal Building (Court Room) 500 White Horse Pike, Oaklyn, NJ 08107",https://townhallproject.com
Leonard Lance,Republican,New Jersey,NJ-07,Town Hall,"Sat, Feb 25, 2017","9:00 AM, EST",,"Raritan Valley Community College in Branchburg 118 Lamington Rd, Branchburg, NJ 08876",https://townhallproject.com
Donald Norcross,Democratic,New Jersey,NJ-1,Town Hall,"Mon, Mar 6, 2017","6:30 PM, EST",,"Bellmawr Ballroom 29 Lewis Ave, Bellmawr, NJ 08031",https://townhallproject.com
Rep Donald Norcross,Democrat,New Jersey,NJ-01,Town Hall,"Mon, Mar 6, 2017","6:30 PM, EST",,"Bellmawr Ballroom 29 Lewis Ave, Bellmawr, NJ 08031",https://townhallproject.com
Tom MacArthur,Republican,New Jersey,NJ-03,Other,"Fri, Mar 31, 2017","11:00 AM, EST",,"Ocean Community College Main Campus, Gateway Building Lecture Hall 1 College Dr, Toms River, NJ 08753",https://townhallproject.com
Chris Smith,Republican,New Jersey,NH-04,Empty Chair Town Hall,"Wed, Feb 22, 2017","6:00 PM, EST",,"Monmouth County Library 25 Symmes Dr, Manalapan Township, NJ 07726",https://townhallproject.com
Ben Ray Lujàn,Democratic,New Mexico,NM-03,Town Hall,"Sat, Feb 25, 2017","10:00 AM, MST",,"Boys and Girls Club of Sante Fe 6600 Valentine Way, Santa Fe, NM 87507",https://townhallproject.com
Ben Ray Lujan,Democrat,New Mexico,NM-03,Town Hall,"Sat, Feb 25, 2017","10:00 AM, MST",,"Boys and Girls Club of Santa Fe 6600 Valentine Way, Santa Fe, NM 87507",https://townhallproject.com
Yvette Clarke,Democratic,New York,NY-9,Town Hall,"Wed, Feb 22, 2017","6:30 PM, EST",,"Union Temple 17 Eastern Pkwy, Brooklyn, NY 11238",https://townhallproject.com
Brian Higgins,Democrat,New York,NY-26,Other,"Wed, Feb 22, 2017","10:30 AM, EST",,"Schiller Park Senior Center 2057 Genesee St, Buffalo, NY 14211",https://townhallproject.com
Brian Higgins,Democrat,New York,NY-26,Other,"Fri, Feb 24, 2017","10:30 AM, EST",,"North Buffalo Community Center 203 Sanders Rd, Buffalo, NY 14216",https://townhallproject.com
Sean Patrick Maloney,Democratic,New York,NY-18,Town Hall,"Sun, Feb 26, 2017","2:00 PM, EST",,"Springfield Baptist Church 8 Church St, Beacon, NY 12508",https://townhallproject.com
Carolyn Maloney,Democratic,New York,NY-12,Town Hall,"Thu, Mar 30, 2017","7:30 PM, EST",,"All Souls Church 1157 Lexington Ave, New York, NY 10075",https://townhallproject.com
Nydia Velazquez,Democrat,New York,NY-07,Other,"Thu, Feb 23, 2017","7:00 PM, EST",,"All Saints Episcopal Church 85-45 96th St, Woodhaven, NY 11421",https://townhallproject.com
Yvette D. Clarke,Democrat,New York,Ny-09,Town Hall,"Wed, Feb 22, 2017","6:30 PM, EST",,,https://townhallproject.com
G.K. Butterfield,Democrat,North Carolina,NC-01,Other,"Sat, Feb 25, 2017","1:00 PM, EST",,"3727 Fayetteville St, Durham, NC 27707",https://townhallproject.com
David Rouzer,Republican,North Carolina,NC-07,Office Hours,"Wed, Mar 1, 2017","9:00 AM, EST",,"165 Agriculture Dr a, Kenansville, NC 28349",https://townhallproject.com
David Rouzer,Republican,North Carolina,NC-07,Office Hours,"Wed, Mar 1, 2017","1:00 PM, EST",,"221 Lisbon St, Clinton, NC 28328",https://townhallproject.com
Richard Pittenger,Republican,North Carolina,NC-9,Office Hours,First and third Tuesday of each month,"1:30 PM, EST",,"805 W Broad St, Elizabethtown, NC 28337",https://townhallproject.com
"Richard Burr, Thom Tillis",Republican,North Carolina,Senate,Empty Chair Town Hall,"Wed, Feb 22, 2017","6:00 PM, EST",,"101 Wilkinson Ave, Cary, NC 27513",https://townhallproject.com
Kevin Cramer,Republican,North Dakota,ND-At Large,Town Hall,"Thu, Feb 23, 2017","1:00 PM, CST",,"5675 26th Ave S, Fargo, ND 58104",https://townhallproject.com
Kevin Cramer,Republican,North Dakota,ND-At-Large,Mobile Office Hours,"Wed, Mar 1, 2017","11:00 AM, CST",,"6 N Raymond St, Northwood, ND 58267",https://townhallproject.com
Kevin Cramer,Republican,North Dakota,ND-At-Large,Mobile Office Hours,"Wed, Mar 1, 2017","1:00 PM, CST",,,https://townhallproject.com
Rob Portman,Republican,Ohio,Senate,Ticketed Event,"Wed, Feb 22, 2017","6:00 PM, EST",,"2830 Napoleon Rd, Fremont, OH 43420",https://townhallproject.com
Pat Tiberi,Republican,Ohio,OH-12,Empty Chair Town Hall,"Wed, Feb 22, 2017","7:00 PM, EST",,"93 W Weisheimer Rd, Columbus, OH 43214",https://townhallproject.com
Steve Chabot,Republican,Ohio,OH-1,Ticketed Event,"Thu, Feb 23, 2017","7:30 AM, EST",,"9160 Lawrenceburg Rd, Harrison, OH 45030",https://townhallproject.com
Marcia Fudge,Democratic,Ohio,OH-11,Town Hall,"Sat, Feb 25, 2017","10:00 AM, EST",,"4400 Richmond Rd, Warrensville Heights, OH 44128",https://townhallproject.com
Rob Portman,Republican,Ohio,Senate,DC Event,"Wed, Mar 1, 2017","9:00 AM, EST",,"448 Russell Senate Office Building, Washington, DC 20510",https://townhallproject.com
Sherrod Brown,Democratic,Ohio,Senate,Coffee,Every Thursday,"8:30 AM, EST",,"East Capitol St NE & First St SE, Washington, DC 20004",https://townhallproject.com
Rob Portman,Republican,Ohio,Senate,Coffee,Every Wednesday,", EST",,Ohio,https://townhallproject.com
Joyce Beatty,Democrat,Ohio,OH-03,Town Hall,"Tue, Feb 21, 2017","9:30 AM, EST",,"4500 Eastland Dr, Columbus, OH 43232",https://townhallproject.com
Rob Portman,Republican,Ohio,Senate,Empty Chair Town Hall,"Thu, Feb 23, 2017","6:30 PM, EST",,"8401 Cedar Ave, Cleveland, OH 44103",https://townhallproject.com
Frank Lucas,Republican,Oklahoma,OK-03,Town Hall,"Fri, Feb 24, 2017","10:00 AM, CST",,"10 W Main St, Yukon, OK 73099",https://townhallproject.com
Frank Lucas,Republican,Oklahoma,OK-03,Town Hall,"Thurs, Feb 23, 2017","10:30 AM, CST",,"406 E Oklahoma Ave, Guthrie, OK 73044",https://townhallproject.com
Frank Lucas,Republican,Oklahoma,OK-03,Town Hall,"Wed, Feb 22, 2017","3:30 PM, CST",,"400 Rte 66, Chandler, OK 74834",https://townhallproject.com
Frank Lucas,Republican,Oklahoma,OK-03,Town Hall,"Wed, Feb 22, 2017","1:30 PM, CST",,"317 E Lee Ave, Sapulpa, OK 74066",https://townhallproject.com
Ron Wyden,Democratic,Oregon,Senate,Town Hall,"Wed, Feb 22, 2017","10:00 AM, PST",,"412 SE Buff St, Madras, OR 97741",https://townhallproject.com
Kurt Schrader,Democratic,Oregon,OR-05,Town Hall,"Wed, Feb 22, 2017","6:00 PM, PST",,"765 14th St NE, Salem, OR 97301",https://townhallproject.com
Ron Wyden,Democratic,Oregon,Senate,Town Hall,"Thu, Feb 23, 2017","9:45 AM, PST",,"201 S Mountain Ave, Ashland, OR 97520",https://townhallproject.com
Ron Wyden,Democratic,Oregon,Senate,Town Hall,"Fri, Feb 24, 2017","11:30 AM, PST",,"1001 W Marine Dr, Astoria, OR 97103",https://townhallproject.com
Ron Wyden,Democratic,Oregon,Senate,Town Hall,"Sat, Feb 25, 2017","12:00 PM, PST",,"1001 SE 135th Ave, Portland, OR 97233",https://townhallproject.com
Peter DeFazio,Democratic,Oregon,OR-04,Town Hall,"Sat, Feb 25, 2017","11:00 AM, PST",,"868 High St, Eugene, OR 97401",https://townhallproject.com
Peter DeFazio,Democratic,Oregon,OR-04,Town Hall,"Sat, Feb 25, 2017","2:30 PM, PST",,"875 SW 26th St, Corvallis, OR 97331",https://townhallproject.com
Suzanne Bonamici,Democrat,Oregon,OR-01,Town Hall,"Fri, Mar 3, 2017","6:00 PM, PST",,Oregon,https://townhallproject.com
Suzanne Bonamici,Democrat,Oregon,OR-01,Town Hall,"Mon, Mar 13, 2017","6:30 PM, PST",,,https://townhallproject.com
Kurt Schrader,Democrat,Oregon,OR-05,Town Hall,"Tue, Feb 21, 2017","6:00 AM, PST",,"13801 SE Webster Rd, Milwaukie, OR 97222",https://townhallproject.com
Kurt Schrader,Democrat,Oregon,OR-05,Town Hall,"Wed, Feb 22, 2017","6:00 AM, PST",,"765 14th St NE, Salem, OR 97301",https://townhallproject.com
Ryan Costello,Republican,Pennsylvania,PA-6,Tele-Town Hall,"Wed, Feb 22, 2017","2:00 PM, EST",,Pennsylvania,https://townhallproject.com
Ryan Costello,Republican,Pennsylvania,PA-06,Teletown Hall,"Wed, Feb 22, 2017","2:00 PM, EST",,Pennsylvania,https://townhallproject.com
Lou Barletta,Republican,Pennsylvania,PA-11,Other,"Wed, Feb 22, 2017","5:00 PM, EST",,"1871 Old Main Dr, Shippensburg, PA 17257",https://townhallproject.com
Ryan Costello,Republican,Pennsylvania,PA-6,Tele-Town Hall,"Thu, Feb 23, 2017","7:00 PM, EST",,Pennsylvania,https://townhallproject.com
Ryan Costello,Republican,Pennsylvania,PA-06,Teletown Hall,"Thu, Feb 23, 2017","7:00 PM, EST",,Pennsylvania,https://townhallproject.com
Mike Kelly,Republican,Pennsylvania,PA-03,Tele-Town Hall,"Mon, Feb 27, 2017","7:15 PM, EST",,Pennsylvania,https://townhallproject.com
Mike Kelly,Republican,Pennsylvania,PA-03,Teletown Hall,"Mon, Feb 27, 2017","7:15 AM, EST",,Pennsylvania,https://townhallproject.com
"Bob Casey, Jr.",Democratic,Pennsylvania,Senate,Coffee,"Thu, Mar 9, 2017","8:30 AM, EST",,"2 Constitution Ave NE, Washington, DC 20002",https://townhallproject.com
"Bob Casey, Jr.",Democratic,Pennsylvania,Senate,Coffee,"Thu, Apr 6, 2017","8:30 AM, EST",,"2 Constitution Ave NE, Washington, DC 20002",https://townhallproject.com
Mike Kelly,Republican,Pennsylvania,PA-03,Teletown Hall,"Mon, Feb 27, 2017","7:15 AM, EST",,Pennsylvania,https://townhallproject.com
Scott Perry,Republican,Pennsylvania,PA-04,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"Longworth House Office Building, 9 Independence Ave SE, Washington, DC 20515",https://townhallproject.com
Scott Perry,Republican,Pennsylvania,PA-04,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"22 Chambersburg St, Gettysburg, PA 17325",https://townhallproject.com
Scott Perry,Republican,Pennsylvania,PA-04,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"730 N Front St, Wormleysburg, PA 17043",https://townhallproject.com
Scott Perry,Republican,Pennsylvania,PA-04,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"2209 E Market St, East York, PA 17402",https://townhallproject.com
Glenn Thompson,Republican,Pennsylvania,PA-05,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"124 Cannon Hob, Washington, DC 20515",https://townhallproject.com
Glenn Thompson,Republican,Pennsylvania,PA-05,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"3555 Benner Pike #101, Bellefonte, PA 16823",https://townhallproject.com
Glenn Thompson,Republican,Pennsylvania,PA-05,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"127 W Spring St c, Titusville, PA 16354",https://townhallproject.com
Ryan Costello,Republican,Pennsylvania,PA-06,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20003",https://townhallproject.com
Ryan Costello,Republican,Pennsylvania,PA-6,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"21 Market St #105, West Chester, PA 19380",https://townhallproject.com
Ryan Costello,Republican,Pennsylvania,,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"840 N Park Rd, Wyomissing, PA 19610",https://townhallproject.com
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"2305 Rayburn Hob, Washington, DC 20515",https://townhallproject.com
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"940 W Sproul Rd, Springfield, PA 19064",https://townhallproject.com
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"2004 Weavertown Rd, Douglassville, PA 19518",https://townhallproject.com
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"2 Township Dr, Paradise, PA 17562",https://townhallproject.com
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"960 Wentz Rd, Blue Bell, PA 19422",https://townhallproject.com
Patrick Meehan,Republican,Pennsylvania,PA-07,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"500 Suplee Rd, Honey Brook, PA 19344",https://townhallproject.com
Brian Fitzpatrick,Republican,Pennsylvania,PA-08,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"Cannon House Office Building, 27 Independence Ave SE, Washington, DC 20003",https://townhallproject.com
Brian Fitzpatrick,Republican,Pennsylvania,PA-08,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"1717 Newtown-Langhorne Rd #400, Langhorne, PA 19047",https://townhallproject.com
Brian Shuster,Republican,Pennsylvania,PA-09,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"Rayburn House Office Building, Washington, DC 20515",https://townhallproject.com
Brian Shuster,Republican,Pennsylvania,PA-09,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"310-16 Penn St #200, Hollidaysburg, PA 16648",https://townhallproject.com
Brian Shuster,Republican,Pennsylvania,PA-09,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"100 Lincoln Hwy b, Chambersburg, PA 17201",https://townhallproject.com
Bill Shuster,Republican,Pennsylvania,,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"827 Water St #3, Indiana, PA 15701",https://townhallproject.com
Tom Marino,Republican,Pennsylvania,PA-10,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"Rayburn House Office Building, Washington, DC 20515",https://townhallproject.com
Tom Marino,Republican,Pennsylvania,PA-10,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"543 Easton Turnpike #101, Lake Ariel, PA 18436",https://townhallproject.com
Tom Marino,Republican,Pennsylvania,PA-10,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"713 Bridge St, Selinsgrove, PA 17870",https://townhallproject.com
Tom Marino,Republican,Pennsylvania,PA-10,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"1020 Commerce Park Dr #1a, Williamsport, PA 17701",https://townhallproject.com
Lou Barletta,Republican,Pennsylvania,PA-11,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"Rayburn House Office Building, Washington, DC 20515",https://townhallproject.com
Lou Barletta,Republican,Pennsylvania,PA-11,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"126 N Hanover St, Carlisle, PA 17013",https://townhallproject.com
Lou Barletta,Republican,Pennsylvania,PA-11,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"4813 Jonestown Rd #101, Harrisburg, PA 17109",https://townhallproject.com
Lou Barletta,Republican,Pennsylvania,PA-11,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"1 S Church St #100, Hazleton, PA 18201",https://townhallproject.com
Lou Barletta,Republican,Pennsylvania,PA-11,Office Hours,"Mon, Feb 20, 2017","9:00 AM, EST",,"106 Arch St, Sunbury, PA 17801",https://townhallproject.com
Jim Langevin,Democrat,Rhode Island,RI-02,Office Hours,"Sat, Mar 11, 2017","12:00 PM, EST",,"226 Cowesett Ave, West Warwick, RI 02893",https://townhallproject.com
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Wed, Feb 22, 2017","12:00 PM, EST",,"1301 2nd Ave, Conway, SC 29526",https://townhallproject.com
Tom Rice,Republican,South Carolina,SC-07,Town Hall,"Thu, Feb 23, 2017","6:00 PM, EST",,"509 S Dargan St, Florence, SC 29506",https://townhallproject.com
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Tue, Feb 28, 2017","10:00 AM, EST",,"111 W Broadway St, Johnsonville, SC 29555",https://townhallproject.com
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Tue, Feb 28, 2017","2:00 PM, EST",,"100 E Main St, Scranton, SC 29591",https://townhallproject.com
Joe Wilson,Republican,South Carolina,SC-02,Office Hours,"Wed, Mar 1, 2017","6:00 PM, EST",,"2339 Broad St, Camden, SC 29020",https://townhallproject.com
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Wed, Mar 1, 2017","10:00 AM, EST",,"3720 US-52, Coward, SC 29530",https://townhallproject.com
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Wed, Mar 1, 2017","2:00 PM, EST",,"298 W Smith St, Timmonsville, SC 29161",https://townhallproject.com
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Thu, Mar 2, 2017","10:00 AM, EST",,"100 E Carolina Ave, Hartsville, SC 29550",https://townhallproject.com
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Thu, Mar 2, 2017","2:00 PM, EST",,"400 Pearl St, Darlington, SC 29532",https://townhallproject.com
Mark Sanford,Republican,South Carolina,SC-01,Town Hall,"Fri, Mar 3, 2017","2:00 PM, EST",,"921 Ribaut Rd, Beaufort, SC 29902",https://townhallproject.com
Mark Sanford,Republican,South Carolina,SC-01,Town Hall,"Sat, Mar 4, 2017","2:00 PM, EST",,"921 Ribaut Rd, Beaufort, SC 29902",https://townhallproject.com
Tom Rice,Republican,South Carolina,SC-07,Office Hours,"Wed, Mar 8, 2017","12:00 PM, EST",,"1230 Highmarket St, Georgetown, SC 29440",https://townhallproject.com
Tom Price,Republican,South Carolina,SC-07,Coffee,"Thu, Feb 23, 2017","6:00 PM, EST",,"509 S Dargan St, Florence, SC 29506",https://townhallproject.com
John Thune,Republican,South Dakota,Senate,Coffee,Every Wednesday,", EST",,South Dakota,https://townhallproject.com
Steve Cohen,Democrat,Tennessee,TN-09,Other,"Fri, Feb 24, 2017","11:00 AM, CST",,"4120 Millbranch Rd, Memphis, TN 38116",https://townhallproject.com
Jim Cooper,Democratic,Tennessee,TN-05,Other,"Fri, Mar 3, 2017","4:00 PM, CST",,"605 Church St, Nashville, TN 37219",https://townhallproject.com
Mark Veasey,Democrat,Texas,TX-33,Office Hours,"Thu, Feb 23, 2017","1:00 PM, CST",,"1302 N Justin Ave, Dallas, TX 75211",https://townhallproject.com
Beto O'Rourke,Democrat,Texas,TX-16,Town Hall,"Fri, Feb 24, 2017","12:00 PM, EST",,"501 N Oregon St, El Paso, TX 79901",https://townhallproject.com
John Culberson,Republican,Texas,TX-07,Teletown Hall,"Wed, Mar 1, 2017","6:00 PM, CST",,Texas,https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Mar 30, 2017","10:00 AM, CST",,"500 N Water St, Fort Stockton, TX 79735",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Thu, Mar 30, 2017","2:00 PM, CST",,"109 W Hackberry St, Sanderson, TX 79848",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Fri, Mar 31, 2017","10:00 AM, CST",,"400 N Harrison St, Alpine, TX 79830",https://townhallproject.com
Will Hurd,Republican,Texas,TX-23,Office Hours,"Fri, Mar 31, 2017","1:30 PM, CST",,"100 Memorial Square, Fort Davis, Texas 79734, 100 Jefferson Square, Fort Davis, TX 79734, United States",https://townhallproject.com
