,org_name,phone,site
376,"Minnesota Council of Churches - Refugee Services, Minneapolis",612-874-8605,http://www.mnchurches.org
377,Park Avenue Legal Clinic - Minneapolis,612-825-6864 ext 564,http://www.vlnmn.org
378,The Advocates for Human Rights - Minneapolis,612-341-9845,http://www.theadvocatesforhumanrights.org
379,University of Minnesota - Detainee Rights Clinic,612-301-1156,https://www.law.umn.edu/course/7844/detainee-rights-clinic
380,Volunteer Lawyers Network - Minneapolis,612-752-6677,http://vlnmn.org
381,Arrive Ministries,612-243-2961,http://www.arriveministries.org
382,Southern Minnesota Regional Legal Services - Rochester,507-289-6199,http://www.smrls.org
383,Mid-Minnesota Legal Aid (St. Cloud Office),320-253-0121,http://www.mylegalaid.org/poverty-law/st-cloud-area-legal-services
384,University of NM School of Law - Community Lawyering Clinic - Albuquerque,952-697-1365,http://www.capsh.org
385,Civil Society - St. Paul,651-291-0713,http://civilsocietyhelps.org
386,Immigrant Law Center of Minnesota (St. Paul office),651-641-1011,http://www.ilcm.org
387,International Institute of Minnesota,651-647-0191,http://www.iimn.org
388,New American Alliance for Development - St. Paul,651-645-5828,http://newamericansalliance.org
389,Southern Minnesota Regional Legal Services - St. Paul,651-291-2837,http://www.smrls.org
390,Mid-Minnesota Legal Aid (Willmar Office),320-235-9600,http://www.mylegalaid.org
391,Immigrant Law Center of Minnesota (Worthington Office),651-641-1011,http://www.ilcm.org
392,Catholic Charities of Jackson - Immigration Clinic,601-948-2635,http://www.catholiccharitiesjackson.org
393,Mississippi Immigrants Rights Alliance (Jackson Office),601-354-9355 ext 3,http://www.yourmira.org
394,El Pueblo,228-436-3986,https://elpueblo-ms.org
395,Mississippi Immigrants Rights Alliance (Biloxi Office),228-386-5164,http://www.yourmira.org
396,Bi-Lingual International Assistant Services (St. Louis Office),314-645-7800,http://www.bilingualstl.org
397,Catholic Charities of St. Louis - Catholic Immigration Law Project,314-977-7282,https://sfcsstl.org/locations/clam/
398,International Institute of St. Louis,314-773-9090,http://www.iistl.org
399,Legal Services of Eastern Missouri - Immigration Law Project (St. Louis Office),314-256-8741,http://www.lsem.org
400,Migrant and Immigrant Community Action Project,314-995-6995,http://www.mica-project.org
401,Missouri Immigrant and Refugee Advocates,314-669-1288,http://www.mira-mo.org
402,"Catholic Charities of Central and Northern Missouri, Diocese of Jefferson City - Refugee & Immigration Services",573-632-0017,http://cccnmo.org
403,Immigration Professionals,816-221-2277,http://www.immigrationprofessionals.us
404,Jewish Vocational Service,816-471-2808,http://www.jvskc.org
405,Legal Aid of Western Missouri (Kansas City West Office),816-474-9868,http://lawmo.org
406,The Clinic,816-994-2300,http://theclinickc.org
407,InterServ - Immigrant Services Program,816-232-7779 ext 228,http://www.faithfullyserving.org
408,Montana Immigrant Justice Alliance,406-282-1492,http://www.mija.org/
409,Montana Organizing Project (MOP),406-360-9932,https://www.facebook.com/montanaorganizingproject/
410,Centro Hispano Comunitario de Nebraska - Columbus,402-564-2110,http://www.centrohispanos.com
411,Lutheran Family Services - Lutheran Immigration Services - Grand Island,308-382-4255,http://www.lfsneb.org/community/immigration.asp
412,Saint Mary's Immigration Program - Grand Island,308-381-2855,http://www.smiplegal.com
413,Lutheran Family Services - Welcome Center - Lexington,308-324-2312 ext 31,http://www.lfsneb.org
414,Catholic Social Services of Southern Nebraska - Lincoln,402-474-1600,http://www.cssisus.org
415,Nebraska Appleseed ,402-438-8853,https://neappleseed.org/
416,University of Nebraska College of Law - Immigration Clinic,402-472-3271,http://law.unl.edu
417,Catholic Charities of Omaha,402-939-4615,http://www.ccomaha.org/what-we-do/immigration-legal-assistance.html
418,Justice for Our Neighbors Nebraska - Omaha,402-898-1349,http://www.jfon-ne.org
419,Lutheran Family Services - Omaha,402-536-3529,http://www.lfsneb.org/community/immigration.asp
420,Progressive Leadership Alliance of Nevada (PLAN),702-791-1965,http://www.planevada.org
421,Hermandad Mexicana,702-598-0052,www.hermandadlasvegas.org
422,Mexican Consulate,501-264-5280,www.consulmex2.sre.gob.mx
423,Nevadans for the Common Good,N/A,www.nevadansforthecommongood.org
424,UNLV Immigration Clinic,702-895-2675,https://law.unlv.edu/clinics
425,Culinary Workers Union Local 226,702-385-2131,http://www.culinaryunion226.org/union/contact
426,Legal Aid Center of Southern NV,702-386-1070,http://www.lacsn.org/contact-us
427,New Hampshire Alliance for Immigrants and Refugees,617-350-5480,https://miracoalition.org/en/home/52-nh-alliance-of-immigrants-and-refugees/113-about-nh-mira
428,Organization for Refugee and Immigrant Success,603-296-0443,http://refugeesuccess.org/
429,Catholic Charities of New Hampshire,603-669-3030,https://www.cc-nh.org/immigrationrefugee
430,Welcoming all Nationalities Network of the Upper Valley,603-795-2155,http://www.wiseuv.org/wise-support.html#wann
431,New Hampshire Alliance for Immigrant Rights (NHAIR-MIRA),617-350-5480,https://miracoalition.org/en/home/52-nh-alliance-of-immigrants-and-refugees/113-about-nh-mira
432,"African Hispanic Immigration Organization, Inc. (Newark Office)",973-370-0907,http://ahiolaw.org
433,American Friends Service Committee - Immigrant Rights Program (Newark Office),973-643-1924,http://afsc.org/program/immigrant-rights-program-newark-nj
434,Catholic Charities of the Archdiocese of Newark - Bishop Francis Center for Immigration Legal Services,973-733-3516,http://www.ccannj.com
435,La Casa De Don Pedro - Center II,973-481-4568,http://www.lacasanwk.org
436,Rutgers-Newark Immigrant Rights Clinic,973-353-5292,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.420514-RutgersNewark_Immigrant_Rights_Clinic
437,"African Hispanic Immigration Organization, Inc. (Pennsauken)",973-370-0907,http://ahiolaw.org 
438,Camden Center for Law and Social Justice (Atlantic City Office),856-583-2950,http://www.cclsj.org
439,Catholic Charities of Camden - Immigration Services (Atlantic City Office),609-345-7737,http://www.catholiccharitiescamden.org
440,Camden Center for Law and Social Justice - Immigration Services (Camden Office),856-583-2950,http://www.cclsj.org
441,Catholic Charities of Camden - Immigration Services (Camden Office),856-342-4161,http://www.catholiccharitiescamden.org
442,Casa Esperanza,732-748-1111,http://www.casaesperanzanj.com
443,Catholic Charities of Metuchen - Immigration Services (New Brunswick Office),732-214-8743,http://www.ccdom.org/immigration/immigration-program
444,Catholic Charities of Metuchen - Immigration Services (Perth Amboy Office),732-324-8200,http://www.ccdom.org
445,Catholic Charities of Metuchen - Immigration Services (Phillipsburg Office),908-777-3730,http://www.ccdom.org
446,Catholic Charities of Paterson - Legal Services Department,973-279-7100,http://www.catholicharities.org/index.php?option=com_content&view=frontpage&Itemid=1
447,Catholic Charities Trenton - Immigration Legal Assistance (Lakewood Office),732-363-5322,http://www.catholiccharitiestrenton.org 
448,Church World Service (Jersey City Office),201-659-0467,http://www.cwsglobal.org 
449,El Centro de Recursos para Familias of Catholic Charities,609-394-2056,http://www.catholiccharitiestrenton.org
450,"Latin American Legal Defense and Education Fund, Inc.",609-688-0881,http://www.laldef.org
451,Lutheran Social Ministries of New Jersey - Immigration and Refugee Services,609-393-4900,http://www.lsmnj.org
452,El Centro Hispanoamericano,908-753-8730,http://www.elcentronj.org
453,El Comite de Apoyo a los Trabajadores Agrícolas (Glassboro Office),856-881-2507,http://www.cata-farmworkers.org
454,Immigration and American Citizenship Organization,973-472-4648,http://www.iacoimmigration.org 
455,Jewish Family Services of Middlesex County (Milltown Office),732-777-1940,http://www.jfvs.org
456,Kids in Need of Defense (Newark Office),862-926-2080,https://supportkind.org
457,Legal Services of New Jersey - Immigration Representation Project,888-576-5529,http://www.lsnj.org
458,Make the Road NJ,908-768-4991,http://www.maketheroadnj.org/
459,Wind of the Spirit Immigrant Resource Center,973-538-2035,http://windofthespirit.net/
460,UndocuJersey,N/A,https://www.facebook.com/undocuJersey/?ref=py_c
461,First Friends of NJ & NY,908-965-0465,www.firstfriendsnjny.org
462,New Mexico Immigrant Law Center (NMILC),505-247-1023,http://nmilc.org/
463,Catholic Charities of Albuquerque,505-247-0442,https://www.ccasfnm.org
464,Univeresity of NM School of Law - Community Lawyering Clinic - Albuquerque,505-277-5265,http://lawschool.unm.edu/clinic/clinic-sections/community/index.php
465,El Centro de Igualdad y Derechos,505-246-1627,http://elcentronm.org/
466,Catholic Charities of Gallup,505-325-3734 or 505-722-4407,http://catholiccharitiesgallup.com
467,Casa Reina Sisters of Our Lady of Guadalupe and St. Joseph - Gallup,505-722-5511,N/A
468,Catholic Charities of Las Cruces,575-527-0500,http://www.catholiccharitiesdlc.org/home.aspx
469,New Mexico Comunidades en Acción y Fe,575-618-6228,http://www.organizenm.org/
470,Catholic Charities of Santa Fe,505-424-9789,https://www.ccsafnm.org
471,Santa Fe Dreamers Project,505-490-2789,http://www.santafedreamersproject.org/
472,Somos Un Pueblo Unido  (SOMOS),505-424-7832,http://www.somosunpueblounido.org/somos-un-pueblo-unido.html
473,U.S. Committee for Refugees and Immigrants (USCRI Albany),518-459-1790,http://refugees.org/field-office/albany/
474,Global Workers Justice Alliance,646-351-1160,http://www.globalworkers.org/
475,Jericho Road Community Health Center,716-348-3000,http://www.jrchc.org/
476,"Journey’s End Refugee Services, Inc.",716-882-4963,http://www.jersbuffalo.org/
477,International Institute of Buffalo,716-883-1900,http://www.iibuff.org/index.php?submenu=AboutUs&src=gendocs&ref=AboutUs&category=Main
478,Vive Shelter by Jericho Road Community Health Center,716-348-3000,http://www.jrchc.org/vive/
479,Family and Children's,516-485-4600 ext 1267,https://www.familyandchildrens.org/
480,The Central American Resource Center,516-489-8330 and 631-273-8721,http://www.carecenny.org/home
481,Make the Road NY,718-418-7690,maketheroadny.org
482,Sanctuary for Families,N/A,www.sanctuaryforfamilies.org
483,Emerald Island Immigration Center,718-478-5502 or 718-324-3039,http://eiic.org/
484,Cabrini Immigrant Services of New York City,212-791-4590,http://cis-nyc.org/
485,MinKwon Center for Community Action,718-460-5600,http://minkwon.org/
486,Safe Passage Project,212-324-6558,www.safepassageproject.org
487,New Women New Yorkers,646-847-9560,www.nywomenimmigrants.org
488,Arab American Association of New York,718-745-3523,http://www.arabamericanny.org/about-us/
489,The Migrant Center at the Church of Saint Francis de Assisi,212-736-8500,http://www.stfrancisnyc.org/migrantcenter/
490,Atlas: DIY,347-599-1641,http://www.atlasdiy.org/
491,Asylum Seekers Advocacy Project,N/A,https://asap.urbanjustice.org/
492,Teach DREAM,N/A,https://teachdreamnyc.com/
493,African Services Committee ,212-222-3882,http://www.africanservices.org/
494,African Communities Together,347746-2281,http://www.africans.us/
495,Haitian Women for Haitian Refugees,718-462-079,https://haitianrefugees.org/
496,Queer Detainee Empowerment Project,347-645-9339,qdep.org
497,Northern Manhattan Coalition for Immigrant Rights (NMCIR),212-781-0355,http://nmcir.org/
498,The Black Institute,212871-6899,www.theblackinstitute.org
499,"UnLocal, Inc.",646-216-8210,www.unlocal.org
500,Rural & Migrant Ministry,845-485-8627,http://www.ruralmigrantministry.org/
501,Worker Justice Center of New York,585-325-3050,www.wjcny.org
502,Chhaya Community Development Corporation,718-478-3848,chhayacdc.org
503,New York State Youth Leadership Council,646-820-9521,https://www.nysylc.org/
504,New York Immigration Coalition,212-627-2227,nyic.org
505,Latin American Coalition,704-531-3848,http://www.latinamericancoalition.org/
506,Southeast Asian Coalition (SEAC),704-531-3853,www.seacvillage.org
507,Latin American Coalition,	704-531-3848,http://www.latinamericancoalition.org
508,International House,704-405-0962,http://www.ihclt.org/index.php
509,"Carolina Refugee Resettlement Agency
",704-535-8803, http://www.carolinarefugee.org
510,U.S. Committee for Refugees and Immigrants (USCRI North Carolina),919-334-0072,http://refugees.org/field-office/north-carolina/
511,CIR,919-322-0360,http://www.ciraleigh.org
512,Catholic Charities Diocese of Charlotte ,828-255-0146,http://www.ccdoc.org
513,"JusticeMatters, Inc.",919-794-7511,http://justicemattersnc.org
514,"Holy Cross Catholic Church - Ministerio Hispano
",336-996-5604,http://www.ilashc.org
515,"Elon University School of Law, Humanitarian Immigration Law Clinic
",336-279-9299,http://www.elon.edu/e-web/law/academics/Immigration%20Clinic.xhtml
516,Center for New North Carolinians,336-256-1062,https://cnnc.uncg.edu
517,"Catholic Charities of Winston-Salem
",336-727-0705,http://www.ccdoc.org
518,Lutheran Social Services of North Dakota - Immigration Services,701-235-7341,http://www.lssnd.org/what-we-do/humanitarian-work/new-americans/nas-overview.html
519,"Refugee, Immigrant, and Migrant Services - Moorhead",701-232-8872,http://www.smrls.org/contact-us/locations/
520,U.S. Committee for Refugees and Immigrants (USCRI Cleveland),216-781-4560,http://refugees.org/field-office/cleveland/
521,"Asian Services In Action, Inc. (ASIA)",216-881-0330,http://www.asiaohio.org
522,Legal Aid Society of Cleveland,216-687-1900,https://lasclev.org/
523,Cleveland Jobs with Justice,440-333-7007,http://www.clevelandjwj.org
524,InterReligious Task Force on Central America,216-961-0003,http://www.irtfcleveland.org/
525,Advocates for Basic Legal Equality,800-837-0814,http://www.ablelaw.org
526,Catholic Charities of Ashtabula - Legal Immigration Services,330-297-7250,http://www.catholiccharitiesyoungstown.org/ccdoy-legalimmigration.html
527,Centro San Jose El Trabajador - Immigrant Worker Project,330-454-2220,http://iwpohio.org/english_version/program.htm
528,Community Legal Aid,330-983-2619,http://www.communitylegalaid.org
529,Immigration Counseling Services,614-259-5322,http://www.vineyardcommunitycenter.org
530,Sisters of St. Francis - Project Hope/Proyecto Esperanza,419-445-0728,http://tiffinfranciscans.org
531,DreamActivist Ohio,N/A,http://daohio.org/
532,Lorain Ohio Immigrant Rights Association (LOIRA),440-522-3026,https://www.facebook.com/LorainOhioImmigrantsRightsAssociation/
533,Legal Aid Services of Oklahoma (Ada Office),580-332-7141,http://www.legalaidok.org/law-offices
534,Catholic Charities Archdiocese of Oklahoma City (Ardmore Office),580-798-2305,http://catholiccharitiesok.org/regional-offices
535,Legal Aid Services of Oklahoma (Ardmore Office),580-226-4863 or 800-421-8007,http://www.legalaidok.org/law-offices
536,Legal Aid Services of Oklahoma (Altus Office),580-482-7431 or 1-800-421-8016,http://www.legalaidok.org/law-offices
537,Legal Aid Services of Oklahoma (Bartlesville Office),918-336-5736 or 1-800-421-4066,http://www.legalaidok.org/law-offices
538,Catholic Charities Archdiocese of Oklahoma City (Clinton Office),580-323-6363,http://catholiccharitiesok.org/regional-offices
539,Catholic Charities Archdiocese of Oklahoma City (Enid Office),580-237-7352,http://catholiccharitiesok.org/regional-offices
540,Catholic Charities Archdiocese of Oklahoma City (Guymon Office),580-468-0904,http://catholiccharitiesok.org/regional-offices
541,Legal Aid Services of Oklahoma (Guymon Office),580-338-3868 or 877-756-7588,http://www.legalaidok.org/law-offices
542,Legal Aid Services of Oklahoma (Hugo Office),580-326-9655 or 1-800-299-9655,http://www.legalaidok.org/law-offices
543,Legal Aid Services of Oklahoma (Lawton Office),580-248-4675 or 1-800-850-5950,http://www.legalaidok.org/law-offices
544,Legal Aid Services of Oklahoma (McAlester Office),918-423-2030 or 888-423-2033,http://www.legalaidok.org/law-offices
545,Legal Aid Services of Oklahoma (Muskagee Office),918-683-5681 or 1-800-725-5681,http://www.legalaidok.org/law-offices
546,Legal Aid Services of Oklahoma (Norman Office),405-360-6631 or 1-800-421-4057,http://www.legalaidok.org/law-offices
547,Hispanic American Mission,405-272-0890,https://www.facebook.com/pages/Hispanic-American-Mission/154927581209714
548,Catholic Charities Archdiocese of Oklahoma City,405-523-3000,http://catholiccharitiesok.org/Immigration
549,Hispanic Equal Legal Protection,405-708-9521,N/A
550,Legal Aid Services of Oklahoma - Oklahoma City,405-521-1302 or 1-800-421-1641,http://www.legalaidok.org/law-offices
551,Oklahoma Department of Libraries,405-521-2502,http://libraries.ok.gov/literacy/immigration-citizenship-services/
552,Legal Aid Services of Oklahoma (Poteau Office),918-647-8136 or 1-800-299-8136,http://www.legalaidok.org/law-offices
553,Legal Aid Services of Oklahoma (Shawnee Office),405-275-6870 or 1-800-421-8017,http://www.legalaidok.org/law-offices
554,Legal Aid Services of Oklahoma (Stillwater Office),405-624-1734 or 1-800-256-9601,http://www.legalaidok.org/law-offices
555,Legal Aid Services of Oklahoma (Tallequah Office),918-708-1150 or 888-993-2615,http://www.legalaidok.org/law-offices
556,Catholic Charities Diocese of Tulsa,918-949-4673,https://cctulsa.org/
557,Legal Aid Services of Oklahoma (Tulsa Office),918-584-3338 or 1-800-299-3338,http://www.legalaidok.org/law-offices
558,YWCA Tulsa,918-587-2100,https://www.ywcatulsa.org/pages/overview_9/
559,University of Tulsa - College of Law - Tulsa Immigrant Resource Network (TIRN),918-631-5799,https://law.utulsa.edu/academics/legal-clinics/immigrant-rights-project/
560,Legal Aid Services of Oklahoma (Weatherford Office),580-774-2235 or 800-256-1978,http://www.legalaidok.org/law-offices
561,Legal Aid Services of Oklahoma (Woodward Office),918-708-1150 or 888-993-2615,http://www.legalaidok.org/law-offices
562,Immigration Counseling Service - Hood River,541-399-8029,http://www.ics-law.org
563,Lutheran Community Services Northwest - McMinnville,503-472-4020 ext 212 or 503-472-4020 ext 231,http://www.lcsnw.org
564,Center for Non-profit Legal Services - Medford,541-779-7292,http://www.cnpls.org/
565,Medford First Church of the Nazarene - Oregon Pacific Immigration & Social Services,541-779-7777,http://opiss.org
566,Oregon Law Center - Ontario,541-889-3121,http://www.oregonlawcenter.org
567,Catholic Charities of Portland,503-542-2855,http://www.catholiccharitiesoregon.org
568,Immigration Counseling Service - Portland,503-221-1689,http://www.ics-law.org
569,Lutheran Community Services Northwest - Portland,503-231-7480,http://www.lcsnw.org
570,Sponsors Organized to Assist Refugee (Ecumenical Ministries) - Portland,503-384-2482,http://www.soarlegal.org
571,United Services for Counseling - Portland,503-698-4929,http://www.uscounseling.org
572,Interfaith Movement for Immigrant Justice,503-550-3510,IMIrJ.org
573,Somos Hispanas Unidas Silverton,503-873-7114,http://www.somoshispanasunidas.org
574,Centro de Servicios para Campesinos - Woodburn,503-982-0243,http://www.pcun.org
575,Voz Hispana Cambio Comunitario,503-269-5694,https://www.facebook.com/VozdelInmigranteLatinoenOregon/
576,Pineros y Campesinos Unidos del Noroeste (PCUN),503-982-0243,http://www.pcun.org/
577,Causa Oregon (CAUSA),503-409-2473 or 855-884-2287,http://causaoregon.org/
578,U.S. Committee for Refugees and Immigrants (USCRI Erie),814-452-3935,http://refugees.org/field-office/erie/
579,Multicultural Community Resource Center,814-455-0212,http://www.mcrcerie.org/
580,Juntos,215-218-9079,www.vamosjuntos.org
581,New Sanctuary Movement,215-279-7060,http://sanctuaryphiladelphia.org/
582,"Africa Cultural Alliance of North America, Inc.",215-729-8225,http://www.acanaus.org
583,Esperanza Immigration Legal Services,215-324-0746,http://www.esperanza.us/eils
584,Pennsylvania Immigration and Citizenship Coalition (PICC),215-832-0636,www.paimmigrant.org
585,"Acculturation for Justice, Access & Peace Outreach",412-391-4985,http://.www.ajapopittsburgh.org
586,Jewish Family & Children's Service - Legal Services for Immigrants and Internationals,412-521-1737,http://www.jfcspgh.org
587,Catholic Charities of Allentown,610-435-1541,http://www.allentowndiocese.org/catholic-charities/immigration-services
588,"Catholic Charities of Scranton
",570-207-2283,http://cssdioceseofscranton.org/content
589,Church World Service - Immigration Legal Services Program (Lancaster Office),717-358-9728,http://cwslancaster.org/
590,International Service Center - Immigration Services,717-236-9401,http://www.isc76.org
591,Pennsylvania Immigration Resource Center,717-600-8099,http://www.pirclaw.org
592,Make the Road Pennsylvania,N/A,http://www.maketheroadpa.org/
593,CASA de Pennsylvania,717-219-7974,http://wearecasa.org/
594,Progreso Latino,401-728-5920,http://www.progresolatino.org/
595,Dorcas International Institute of Rhode Island,401-784-8600,http://www.diiri.org/
596,Sojourner House,401-861-6191,http://www.sojournerri.org/immigration/
597,Catholic Charities of Providence,401-421-7833 ext 229,http://www.dioceseofprovidence.org/immigration-refugee-services
598,South Carolina Appleseed Legal Justice Center,803-779-1113,http://scjustice.org/our-work/policy-areas/immigration/
599,South Carolina Legal Services (Columbia Office),803-799-9668,http://www.sclegal.org
600,South Carolina Victim Assistance Network - Immigrant Victim Network (Columbia Office),803-750-1200,http://www.scvan.org
601,Immigrant Connection - Greenville Multicultural Church,864-295-0945,https://greenvillemulticultural.com/immigrant-legal-services-clinic/
602,Immigrant Connection at Iglesia Wesleyana El Camino (Spanish site),864-520-1151,http://www.elcamin.webs.com
603,South Carolina Legal Services (Greenville Office),864-679-3232,http://www.sclegal.org
604,South Carolina Victim Assistance Network - Immigrant Victim Program (Greenville Office),803-750-1200,http://www.scvan.org
605,South Carolina Legal Services (Charleston Office),843-720-7044,http://www.sclegal.org
606,South Carolina Legal Services (Conway Office),843-381-8182,http://www.sclegal.org
607,South Carolina Legal Services (Florence Office),843-413-9500,http://www.sclegal.org
608,South Carolina Legal Services (Greenwood Office),864-223-4879,http://www.sclegal.org
609,South Carolina Legal Services (Orangeburg Office),803-533-0116,http://www.sclegal.org
610,South Carolina Legal Services (Rock Hill Office),864-679-3232,http://www.sclegal.org
611,South Carolina Legal Services (Spartanburg Office),864-582-0369,http://www.sclegal.org
612,LSS-SD Center for New Americans,605-731-2000,http://www.LssSd.org
613,Sisters of the Presentation of the Blessed Virgin Mary - Caminando Juntos,605-274-3735,http://www.presentationsisters.org
614,Catholic Charities of East Tennessee (Chattanooga Office),423-826-0663,http://ccetn.org/programs-2/outreach/office-of-immigrant-services/
615,Legal Aid Society of Middle Tennessee and the Cumberlands,1-800-238-1443,http://www.las.org/
616,Legal Aid Society of Middle Tennessee and the Cumberlands,931-381-5533,http://www.las.org/
617,Legal Aid Society of Middle Tennessee and the Cumberlands,931-528-7436,http://www.las.org/
618,Legal Aid Society of Middle Tennessee and the Cumberlands,615-451-1880,http://www.las.org/
619,Catholic Charities of East Tennessee (Knoxville Office),865-971-3550,http://ccetn.org/programs-2/outreach/office-of-immigrant-services/
620,Mid-South Immigration Advocates,901-244-4367,http://miamemphis.org/our-services/
621,Latino Memphis,901-366-5882,http://www.latinomemphis.org
622,Community Legal Center,901-543-3395,http://clcmemphis.com
623,Catholic Charities of West Tennessee (Memphis Office),901-722-4700,http://www.ccwtn.org/
624,World Relief Memphis,901-341-0220,http://worldreliefmemphis.org/
625,Legal Aid Society of Middle Tennessee and the Cumberlands,615-890-0905,http://www.las.org/
626,American Association of Refugee & Immigrant Women,615-823-5464,http://aariw.org/contacts.php
627,Casa Azafran,615-833-0384,http://www.casaazafran.org/
628,Justice for Our Neighbors,615-454-6185,http://www.tnjfon.org/
629,Texas Rio Grande Legal Aid (Tennessee Office),615-750-1200,http://www.trla.org/about/who-we-are
630,Legal Aid Society of Middle Tennessee and the Cumberlands - Nashville,615-244-6610,http://www.las.org/
631,Catholic Charities of Tennessee (Nashville Office),615-352-3087,http://www.cctenn.org
632,Tennessee Coalition to End Domestic & Sexual Violence,615-386-9406,http://www.tncoalition.org/about-us
633,Conexion Americas,615-320-5152,http://www.conexionamericas.org/
634,Tennessee Immigrant and Refugee Rights Coalition (TIRRC),615-833-0384,http://www.tnimmigrant.org/citizenship/
635,Legal Aid Society of Middle Tennessee and the Cumberlands - Oak Ridge,865-483-8454,http://www.las.org/
636,League of Women Voters of Oak Ridge,N/A,http://lwvoakridge.org/immigration.html
637,Catholic Charities of East Tennessee (Tri-Cities Office) ,423-328-0070 ext 104,http://ccetn.org/programs-2/outreach/office-of-immigrant-services/
638,Legal Aid Society of Middle Tennessee and the Cumberlands - Tullahoma,931-455-7000,http://www.las.org/
639,LUPE,N/A,http://lupenet.org/
640,American Gateways,512-478-0546,http://www.americangateways.org/
641,Grassroots Leadership,N/A,http://grassrootsleadership.org/
642,University Leadership Initiative,512-471-1211,http://universityleadershipinitiative.org/
643,Las Americas,512-535-0765,http://cinelasamericas.org/
644,Casa Marianella,512-385-5571,http://www.casamarianella.org/
645,Bernardo Kohler Center,512-831-4272,http://bernardokohler.org/
646,National Latina Institute for Reproductive Health - Texas Latina Advocacy Network,202-621-1435,http://latinainstitute.org/en/texas
647,UT Immigration Law Clinic,512-232-1292,https://law.utexas.edu/clinics/immigration/course-info/about/
648,Equal Justice Center,512-474-0007,http://www.equaljusticecenter.org/
649,Refugee Services of Texas,512-472-9472,http://www.rstx.org/
650,Loaves & Fishes,512-328-7299,http://mlf.org/
651,Multi Cultural Refugee Coalition ,N/A,http://www.mrcaustin.org/
652,Amnesty International at University of Texas,N/A,https://texasamnestyinternational.com/about/
653,Texas Civil Rights Project,512-474-5073,https://www.texascivilrightsproject.org/en/
655,Caritas,512-479-4610,http://www.caritasofaustin.org/
656,Texas Rio Grande Legal Aid,512-374-2700,http://www.trla.org/
657,"MOSAIC, Dallas",214-821-5393,http://mosaicservices.org/
658,Latino CLD,469-744-5313,http://www.latinocld.com/
659,Workers Defense Project,512-391-2305,http://www.workersdefense.org/
660,North Texas Dream Team,877-686-6838,http://www.northtexasdreamteam.org/
661,UTRGV Minority Affairs Council,N/A,https://www.facebook.com/pg/MinorityAffairsCouncil/about/?ref=page_internal
662,Annunciation House,N/A,https://annunciationhouse.org/
663,Border Network for Human Rights,915-577-0724,http://bnhr.org/
664,Movimiento Del Valle Por Los Derechos Humanos ,956-465-6872,https://www.facebook.com/Movimiento-Del-Valle-Por-Los-Derechos-Humanos-572617596112347/
665,Chinese Community Center,713-271-6100,www.ccchouston.org
666,FIEL,713-364-3435,https://fielhouston.org/
667,Youth Empowerment Alliance,713-884-7440,http://uhyea.org/
668,Boat People SOS,832-300-5553,www.bpsoshou.org 
669,United We Dream (Houston),713-863-1422,http://unitedwedream.org/
670,Neighborhood Centers,713-315-6400,http://www.neighborhood-centers.org/
671,Bilingual Education Institute ,713-789-4555,http://www.bei.edu/
672,YMCA International,713-339-9015,http://www.ymca.int/
673,PAIR (Political Asylum/Immigration Representation Project),713-771-1111,http://www.pairhouston.org/
674,Tahirih Justice Center,713-496-0100,http://www.tahirih.org/locations/houston/
675,Plant it Forward,713-432-0754,http://plant-it-forward.org/
676,UNICEF,713-963-9390,https://www.unicefusa.org/about/offices/houston
677,Syrian American Club,713-266-5577,http://www.syrianamericanclub.com/
678,Kurdish American Foundation,N/A,http://www.kurdafh.org/
679,African Law Center,281-624-6421,http://www.africanlawcenter.org/
680,The Community Cloth ,N/A,http://www.thecommunitycloth.org/
681,Echoes,713-270-0369,http://echos-houston.org/
682,ACLU of Texas,713-942-8146,https://www.aclutx.org/
683,Texas Organizing Project (TOP),832-582-0061,http://organizetexas.org/
684,Aqui Estamos RGV,956-332-3858,http://www.aquiestamosrgv.org/
685,Rio Grande Valley Equal Voice Network,956-5070595,http://rgvequalvoicenetwork.blogspot.com/
686,MALDEF,210-224-5476,http://www.maldef.org/about/offices/southwest/
687,RAICES,210-226-7722,https://www.raicestexas.org/
688,Utah Legal Services - Ogden,801-394-9431 or Toll Free 800-662-4245,http://www.utahlegalservices.org/
689,Utah Legal Services - Provo,801-374-6766 or Toll Free 800-662-4245,http://www.utahlegalservices.org/
690,Catholic Community Services of Utah - Immigration & Refugee Resettlement,801-977-9119,http://www.ccsutah.org/programs/refugees/immigration
691,Holy Cross Ministries of Utah - Immigration Services,801-261-3496,http://www.holycrossministries.org
692,Immigrant Legal Services (ILS),801-888-9186,http://www.immigrantlegalservices.org
693,International Rescue Committee (Salt Lake City Office),801-883-8452 or 801-328-1091 ext 452,http://www.rescue.org
694,Refugee & Immigrant Center - Asian Association of Utah,801-467-6060,http://aau-slc.org/
695,Utah Legal Services - Salt Lake City (at the Community Legal Center) ,801-328-8891 or Toll Free 800-662-4245,http://www.utahlegalservices.org/
696,Utah Legal Services - St. George (at the Southern Utah Community Legal Center),435-628-1604 or Toll Free 800-662-4245,http://www.utahlegalservices.org/
697,Comunidades Unidas / Communities United,801-487-4143,http://www.cuutah.org
698,Migrant Justice (Justicia Migrante),802-658-6770,http://www.migrantjustice.net
699,U.S. Committee for Refugees and Immigrants (USCRI Vermont Refugee Resettlement Program),802-655-1963,http://refugees.org/field-office/vermont/
